name,spectrogram_code,melspectrogram_code,MFCC_code
Group02_Song1_Full.mp3,87a9695c921749eef0355575f83c78ded87205caf238744b78965d85d0cc2993,878b87ab87a396319631963556355e345e745e7c7c747c747874787468c468c4,f034d237f011b2119483878307cf23cc07c66be40f724f6c4dea4dea6de86f79
Group02_Song1_Music.mp3,aa18556ea2a14d5e96a96cd7832b36d7c8203a67d5993ee6c5a93a64e49a3b68,a639a639a639a633a633863396b6d6b652b65a9658d658d458d459d459d479c4,80a98621b0a1b221b221b23736373cd66cd76ddc49de495e497e4d6e594e576e
Group02_Song1_Vocals.mp3,87a9685c930778b6567571345c75789c5a73a5ca5a7574cb7834cd8d5244a593,858b878387839331d23152355a715e785e6c7c6c7c6d7c2d7a257a65686568e5,8b67972387c3962395cb86ad75ca719c799c79746934683468d8689c68dc68fc
Group02_Song2_Full.mp3,917207a5ee857152ce8d794dea89744dac2d489b6ea57e5fa40440eaea9d5d23,b372b372b324a324aa24a224b255b255b255b255ba55ba55ba57ba55ba35b435,ae85eacdeea5ea45ea5bf895fa5a70b9315c11763176116a137215b205a205af
Group02_Song2_Music.mp3,f874078ba77658b98bc235758aca3574ca8b680697906cbb934c6d4c8abb79e8,b336b336b336b334b274b274b274b274b274b274b254b254b254b255b255b255,93d09662a7c2af52e868e174a52663343635712d783d7cbd58995a9b4add0e8b
Group02_Song2_Vocals.mp3,93726ca548c932574e897b5468ad7c8d246d90bb6c6d7a5f6c05c1fa6e9d9112,937a936a81a8c9a468a46c856cc97c5b7c537c577c477a477a575a1758345d24,95a4c8ca85a888cacadacca16a5a6cb5790d7d35351575257715753576357e15
Group02_Song3_Full.mp3,aad47d49c03317fad0a34e3ee8a175f28296017ecca17d7b7196453c658b143e,aa16aa96aa94aabdaab7abd329d369d368f32ad32ad22a922a922a9b2b5b2951,a803c023c023c032843a907e043e057e0eff2fcc1fcc3fcc3fcc3bcc7fc97fc9
Group02_Song3_Music.mp3,aa546dcacca9366fd1900d7ff1a05f6dc51465a194b6736dcc5a578ca032554d,aad4aa94aa96aa96aa96aa92aa92aa92aa9aaadaaadaaadaaadaaacaab4a2b6c,88148021d421c2a5c2a0daa94ead4fcf0c5f2e7f3e5f325f335e335273da795a
Group02_Song3_Vocals.mp3,8adc3b61541a1bfa792f02ae6c2937f2429a93764da1357b738704b445ab92be,aa1eaa9eca8ccaad6cad7d457d437d637de37ca35cb21c921692169316111551,b515ca9aa50dca96952e0d5616be25f643e927c152a12fe13be13be13b613b61
Group02_Song4_Full.mp3,b5e26babd02c13f0c81d5c6ded0d7752d04d3cd05e1b63dc9361603dea4d1768,b4f6b4f694e794e7d56fad57a496a496a4962496369e341e355a241a249e2694,a404c80cc00dc00cc48ca4bc575e37e017d217f31f7317f32fd337f36fb36b13
Group02_Song4_Music.mp3,9c2a6b79948e73d69a217586aa3148adaed05bafacd4732bac945363b5384ac6,b496b496b496b496b496b496b496b496b496b496b496b496b496b496b496b496,ac168c309c088619880f9c21548d758e75ae75de67d673d273717b714b716b79
Group02_Song4_Vocals.mp3,b5f26fa3d22c37b1480d1c714d4d37d2504fb4d05f0b26dc536924b55a4d9763,90779077d865d96dd96dc96f490f6a166a8e6a8e4a0e5b4a5b4a275a269a269c,a00cd94e80adc94ec48da49c155a2eb117d03fa13f7337a32f9337b32fb32593
Group03_Song01_Full.mp3,810f7792b6a15fc4fe70007db0337e70ef5040d983322e87f6b316c0b37cb92d,a00da20fa21fa21be61bf65afe9afe8a7e8a5ea95eed5c845c105c307c307ca8,fe18f631aa60b221a049b20940cd726d54ad5db65dd64dd609d659965dde49de
Group03_Song01_Music.mp3,b96266b789c85077a5875cf8a33f58c6e2295d90b02f1dd2e83d578aa275986c,ae0fae0fae0fae0fae0fbe0bfe0bfe0bde0bd68b568a56825612541254525452,800fa32da10c9b889bc89dc84bd04956585f7873787178717731747776a776a7
Group03_Song01_Vocals.mp3,800f7fd276251fc47e70802df0337db86f52d88987522e8d769390e57f52a12d,804d804da257e252e352775277d27dc279a658ec58ed5c645d347d307f383ea8,805ba273805ba225c0ade22d5c8d7fa55d841f821dd61fd21dd25fb25dd05fd2
Group03_Song02_Full.mp3,87887fbfea006a56f4243018fa7068377cc4395f9534748b7ba4545f7da0303f,810e810e802e80a682f43af57af47ef07ff17b915b8942ab52ab52ab56a67fe2,fe80f820e000e000e00be10b600b0b4b0b900bd91afe1fde1fdc1fff17ff3fff
Group03_Song02_Music.mp3,82a83fdfd5007ab5d5086c73b50e791f9f0574b78cca79158fa260159ee0605f,80ab80ab80ab80ab82aa2fe03ff03ff03fd03fd03fd06bd06b467b447f447fc4,9708952894289108f0307131693168b26ab22ae72af76af52acd27ff27df1fdf
